time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pErbB2_au,pErbB3_au,pIGF1R_au,tEGFR_au,tErbB2_au,tErbB3_au,tIGF1R_au,pERK_au,pAKT_au,pS6_au,pMEK_au,pS6K1_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
5,0,0,0.15625,0,0,0,0,0,0,0,0,0,BT474M3,4443.458196,37776.50593,1148.205641,192.4865221,750.9589576,11106.68013,245.3129179,54.72490945,0.279628515,19.21486728,5.601486352,7.180150296,NaN,,,,,
10,0,0,0.15625,0,0,0,0,0,0,0,0,0,BT474M3,5050.305665,41001.10238,1271.208515,558.2188635,1005.690713,14259.29813,335.3676064,73.377552,0.277940705,21.98904968,6.421382651,7.497789477,NaN,,,,,
15,0,0,0.15625,0,0,0,0,0,0,0,0,0,BT474M3,6906.571907,52753.13411,1535.517623,98.02631469,976.7502554,13856.24417,328.0904044,57.78859192,0.228455583,20.13932102,9.247183956,7.900568151,NaN,,,,,
30,0,0,0.15625,0,0,0,0,0,0,0,0,0,BT474M3,5163.896286,39165.02843,1194.423715,392.336753,843.2310831,13765.88959,260.4305578,56.71424458,0.191868436,19.53701926,6.409047314,6.844603985,NaN,,,,,
60,0,0,0.15625,0,0,0,0,0,0,0,0,0,BT474M3,8604.155574,52101.66633,1672.443159,396.8415478,725.6011834,11384.82005,266.8534007,46.14310498,0.203010847,16.99784669,5.5810681,7.881727798,NaN,,,,,
120,0,0,0.15625,0,0,0,0,0,0,0,0,0,BT474M3,4452.461399,39929.97408,1352.815539,44.87651031,735.6478942,9933.56649,240.5834811,40.92287258,0.153397292,17.86931385,5.772488942,8.049205461,NaN,,,,,
240,0,0,0.15625,0,0,0,0,0,0,0,0,0,BT474M3,6140.502638,48373.96187,1501.826503,212.5004464,998.0353619,14638.32632,359.1089645,70.61937009,0.196181093,24.36195769,7.694786913,7.702777931,NaN,,,,,
0,0,0,0.625,0,0,0,0,0,0,0,0,0,BT474M3,4964.937141,55483.54519,1574.439378,0,1092.380629,12629.36427,326.9792209,61.46166738,0.168282158,24.00876581,6.928494658,5.659401459,NaN,,,,,
5,0,0,0.625,0,0,0,0,0,0,0,0,0,BT474M3,4227.507368,42371.45227,1057.989609,367.5823611,775.1768095,12746.67671,235.5472711,34.91209112,0.254622599,19.38745767,5.799075912,7.480499187,NaN,,,,,
10,0,0,0.625,0,0,0,0,0,0,0,0,0,BT474M3,5851.422215,39964.69666,1160.092905,241.3210223,912.456591,13831.75633,304.3780081,59.24608398,0.248850881,28.15943219,6.928550439,6.904658766,NaN,,,,,
15,0,0,0.625,0,0,0,0,0,0,0,0,0,BT474M3,9239.259731,51913.97814,1541.643298,415.4283547,934.3497516,13232.15881,315.2467403,56.58540213,0.192467166,19.52043981,7.437996468,6.865444948,NaN,,,,,
30,0,0,0.625,0,0,0,0,0,0,0,0,0,BT474M3,6019.484786,39236.08427,1120.673466,265.8665734,812.2453194,13382.78279,259.8008817,50.53217437,0.197111003,19.65769089,6.988154704,7.326828725,NaN,,,,,
60,0,0,0.625,0,0,0,0,0,0,0,0,0,BT474M3,7708.876891,51727.55502,1655.478932,438.0437999,833.5000752,12356.8411,272.9372313,49.42682573,0.126631658,21.79389493,6.62801349,6.605568994,NaN,,,,,
120,0,0,0.625,0,0,0,0,0,0,0,0,0,BT474M3,4731.454566,36643.42822,1314.560647,245.2256962,675.7605882,9247.623877,237.7402833,39.73111343,0.171855367,22.23872907,6.427666983,7.796118752,NaN,,,,,
240,0,0,0.625,0,0,0,0,0,0,0,0,0,BT474M3,5720.904574,44082.71043,1412.911037,332.8213282,859.6019068,13613.96664,297.7115745,57.41164972,0.189542695,24.19445167,5.91137341,7.280543742,NaN,,,,,
0,0,0,2.5,0,0,0,0,0,0,0,0,0,BT474M3,4406.796688,54900.08059,1738.63247,312.4443631,935.5276813,11833.83401,296.098785,58.03793337,0.150303302,30.36332744,8.604262643,7.075946901,NaN,,,,,
5,0,0,2.5,0,0,0,0,0,0,0,0,0,BT474M3,3215.0023,36702.94711,1063.411977,819.0515386,796.5864001,11536.33259,247.6041194,36.81270802,0.295321916,21.8346348,5.900930835,7.111816898,NaN,,,,,
10,0,0,2.5,0,0,0,0,0,0,0,0,0,BT474M3,7775.318631,47245.21773,1536.399248,756.3347236,1221.959133,18020.01718,405.2332776,89.55067998,0.328631973,25.16263247,6.898301222,6.806138107,NaN,,,,,
15,0,0,2.5,0,0,0,0,0,0,0,0,0,BT474M3,7087.825993,52895.11785,1524.490707,585.5068543,911.9912322,14305.73264,316.4473507,62.39027529,0.218658298,21.47908929,7.426668525,7.451917992,NaN,,,,,
30,0,0,2.5,0,0,0,0,0,0,0,0,0,BT474M3,6671.496996,40946.30725,1424.302875,674.7875517,940.0239983,13854.53899,323.6679144,70.5158563,0.20782561,21.72967863,6.241159498,6.141561351,NaN,,,,,
60,0,0,2.5,0,0,0,0,0,0,0,0,0,BT474M3,9296.37562,49706.97839,1633.050163,632.4486445,799.0356396,12169.48957,250.2743671,48.96796476,0.212630082,19.00324067,6.019245777,7.83279124,NaN,,,,,
120,0,0,2.5,0,0,0,0,0,0,0,0,0,BT474M3,6704.834342,41112.23415,1635.277159,659.7574185,794.5337849,10428.06714,306.336546,53.58252475,0.172511203,24.30790205,6.299397243,7.911285956,NaN,,,,,
240,0,0,2.5,0,0,0,0,0,0,0,0,0,BT474M3,7647.684175,49810.85231,1684.140217,704.9370932,1211.330674,16423.73474,403.3756029,79.19038245,0.18879491,30.32611344,8.542807969,6.664491501,NaN,,,,,
0,0,0,10,0,0,0,0,0,0,0,0,0,BT474M3,5591.037257,50003.88869,1746.49694,104.5036238,994.0956673,10707.21481,272.4510871,64.87944,0.145429198,24.11490347,7.460127512,5.885786593,NaN,,,,,
