time,EGF_level,HRG_level,IGF1_level,HGF_level,BTC_level,isBxPc3,isBT20,isA431,isADRr,isIGROV1,isACHN,isHCC827,Cellline,pEGFR_au,pMet_au,pERK_au,pAKT_au,FACS_EGFR,FACS_ErbB2,FACS_ErbB3,FACS_IGF1R,FACS_Met
30,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_197,,39941.81425,44710.81494,9488.08333,,,,,
60,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_197,,45845.99488,45254.59788,7729.344186,,,,,
90,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_197,,37046.98682,49977.71328,8426.585253,,,,,
120,0,0,0,1,0,0,0,0,0,0,1,0,ACHN_197,,,45635.69846,3931.057447,,,,,
2,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_197,,12898.19428,15484.07164,5116.059392,,,,,
3,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_197,,33525.33631,25424.53601,6332.787992,,,,,
4,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_197,,13977.14354,29941.9499,10284.87934,,,,,
5,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_197,,20706.89714,38494.51615,8996.498401,,,,,
7,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_197,,13470.37209,44229.98549,7060.264983,,,,,
10,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_197,,15326.02025,47671.11815,9621.471395,,,,,
20,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_197,,19322.46467,51412.18208,10932.31053,,,,,
30,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_197,,19896.97323,49228.68708,10488.88271,,,,,
60,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_197,,21135.37798,41897.09769,9454.217798,,,,,
90,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_197,,21974.8109,39762.29283,8931.133064,,,,,
120,0,0,0,0.333333333,0,0,0,0,0,0,1,0,ACHN_197,,,34775.506,5527.144817,,,,,
2,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_197,,9748.590226,11665.90545,5502.061639,,,,,
3,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_197,,15993.01907,14983.36516,4752.644968,,,,,
4,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_197,,10628.22153,20753.26128,6887.340124,,,,,
5,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_197,,7724.176782,25921.00359,6331.621333,,,,,
7,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_197,,8114.97305,35699.70213,6543.337618,,,,,
10,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_197,,8655.397907,38652.6159,5990.989176,,,,,
20,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_197,,10569.5885,40224.90644,6362.213736,,,,,
30,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_197,,15237.56681,34703.33002,6774.627857,,,,,
60,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_197,,12520.21809,26397.13587,5455.557296,,,,,
90,0,0,0,0.111111111,0,0,0,0,0,0,1,0,ACHN_197,,13049.25152,31936.52715,4790.593808,,,,,
