time,nExpID,SOCS3_noHK_qpcr_scaled,input_ActD,input_apap,input_dcf,input_il6,HAMP_noHK_qpcr_scaled,TFRC_qpcr_scaled,gp130_qpcr_scaled,STAT3_qpcr_scaled,Experiment
50,10,992,0,10,0,10,1410,NaN,NaN,NaN,Anja_2018_19
50,11,963,0,10,0,10,1510,NaN,NaN,NaN,Anja_2018_19
60,10,1490,0,10,0,10,2330,NaN,NaN,NaN,Anja_2018_19
60,11,1480,0,10,0,10,2230,NaN,NaN,NaN,Anja_2018_19
70,10,2130,0,10,0,10,6700,NaN,NaN,NaN,Anja_2018_19
70,11,1960,0,10,0,10,6150,NaN,NaN,NaN,Anja_2018_19
90,10,1340,0,10,0,10,5660,NaN,NaN,NaN,Anja_2018_19
90,11,1500,0,10,0,10,5540,NaN,NaN,NaN,Anja_2018_19
120,10,532,0,10,0,10,6910,NaN,NaN,NaN,Anja_2018_19
120,11,532,0,10,0,10,6810,NaN,NaN,NaN,Anja_2018_19
150,10,272,0,10,0,10,6920,NaN,NaN,NaN,Anja_2018_19
150,11,261,0,10,0,10,6220,NaN,NaN,NaN,Anja_2018_19
240,10,95.9,0,10,0,10,1560,NaN,NaN,NaN,Anja_2018_19
240,11,100,0,10,0,10,1540,NaN,NaN,NaN,Anja_2018_19
360,10,84.7,0,10,0,10,213,NaN,NaN,NaN,Anja_2018_19
360,11,112,0,10,0,10,248,NaN,NaN,NaN,Anja_2018_19
50,10,1890,1,0,0,10,2390,NaN,NaN,NaN,Anja_2018_19
50,11,1730,1,0,0,10,2440,NaN,NaN,NaN,Anja_2018_19
60,10,1550,1,0,0,10,3010,NaN,NaN,NaN,Anja_2018_19
60,11,1570,1,0,0,10,2920,NaN,NaN,NaN,Anja_2018_19
70,10,712,1,0,0,10,3400,NaN,NaN,NaN,Anja_2018_19
70,11,689,1,0,0,10,3300,NaN,NaN,NaN,Anja_2018_19
90,10,420,1,0,0,10,2860,NaN,NaN,NaN,Anja_2018_19
90,11,393,1,0,0,10,3060,NaN,NaN,NaN,Anja_2018_19
120,10,192,1,0,0,10,2660,NaN,NaN,NaN,Anja_2018_19
