timepoint,well,indsyn,pptase,590,800,Indconc,Indconcnorm,IndconcNormRange,Bacnorm,ExpID,typeID
855,B10,synT5,sfp,0.231919998,0.162509994,-0.007155771,-0.029930977,0.001095351,0.366351802,1,T5
860,B10,synT5,sfp,0.234459988,0.164339993,-0.007307975,-0.030227227,0.000998167,0.370477231,1,T5
865,B10,synT5,sfp,0.23784001,0.166910006,-0.007708815,-0.031394226,0.000742223,0.376270898,1,T5
870,B10,synT5,sfp,0.241190006,0.168980003,-0.007404085,-0.029783833,0.000936799,0.380937363,1,T5
875,B10,synT5,sfp,0.244150007,0.17095999,-0.007356931,-0.029251404,0.000966907,0.385400914,1,T5
880,B10,synT5,sfp,0.246439988,0.172589997,-0.007464927,-0.029400483,0.00089795,0.389075495,1,T5
885,B10,synT5,sfp,0.250110005,0.174799986,-0.007046125,-0.027400182,0.001165363,0.394057548,1,T5
890,B10,synT5,sfp,0.253129987,0.176720006,-0.006850771,-0.026351068,0.0012901,0.398385914,1,T5
895,B10,synT5,sfp,0.256289996,0.17839999,-0.006162261,-0.02347955,0.001729725,0.402173159,1,T5
900,B10,synT5,sfp,0.259150012,0.180989995,-0.007112518,-0.026712427,0.001122969,0.408011895,1,T5
905,B10,synT5,sfp,0.263149995,0.183480005,-0.006775701,-0.025102096,0.001338033,0.413625209,1,T5
910,B10,synT5,sfp,0.266389988,0.185769993,-0.006904612,-0.025264357,0.001255721,0.418787608,1,T5
915,B10,synT5,sfp,0.269299994,0.187689997,-0.006819211,-0.02469662,0.001310251,0.423115938,1,T5
920,B10,synT5,sfp,0.272909996,0.189989989,-0.006592831,-0.023587708,0.001454799,0.428300888,1,T5
925,B10,synT5,sfp,0.275609996,0.192340003,-0.007350042,-0.025975547,0.000971306,0.433598604,1,T5
930,B10,synT5,sfp,0.278769986,0.194659998,-0.007603101,-0.026549636,0.000809723,0.438828648,1,T5
935,B10,synT5,sfp,0.282550006,0.196630003,-0.006721244,-0.023235093,0.001372804,0.443269698,1,T5
940,B10,synT5,sfp,0.285239989,0.198359991,-0.006576325,-0.022535836,0.001465338,0.447169667,1,T5
945,B10,synT5,sfp,0.289619992,0.201929988,-0.007448305,-0.025072702,0.000908563,0.455217633,1,T5
950,B10,synT5,sfp,0.292839998,0.20315999,-0.00603781,-0.020201601,0.001809189,0.457990469,1,T5
955,B10,synT5,sfp,0.295319988,0.205520011,-0.007029753,-0.023250402,0.001175816,0.463310743,1,T5
960,B10,synT5,sfp,0.299350006,0.20811,-0.006809985,-0.022243223,0.001316142,0.469149445,1,T5
965,B10,synT5,sfp,0.302760004,0.210990009,-0.007636899,-0.024603657,0.000788143,0.475641947,1,T5
970,B10,synT5,sfp,0.306610009,0.21263999,-0.006214253,-0.019864998,0.001696527,0.479361554,1,T5
975,B10,synT5,sfp,0.309600003,0.215709996,-0.007740684,-0.024392348,0.000721874,0.486282374,1,T5
980,B10,synT5,sfp,0.312889998,0.218690001,-0.008834709,-0.02746046,2.33E-05,0.493000301,1,T5
985,B10,synT5,sfp,0.316429999,0.220570005,-0.008060466,-0.024840379,0.000517688,0.497238458,1,T5
990,B10,synT5,sfp,0.320740014,0.222679994,-0.006854551,-0.020923885,0.001287686,0.501995077,1,T5
995,B10,synT5,sfp,0.323549996,0.22485,-0.007236963,-0.021878017,0.001043509,0.506886996,1,T5
