#t RCT0 alpha BN1 BN2 BN3 BN4 BTX BM RCT1 RC beta cell k0 k1 k2 k3 k4 q epsilon 
##CONCENTRATIONS
60 0.00000000135378 -0.000000 0.0366134015 0.2573794554 0.9112219562 2.1680674805 0.7288150663 49.76899643748 46.12890620390 46.12890620526 53.87109379745 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
61 0.00000000232445 -0.000000 0.0312998620 0.2249350409 0.8138659376 1.9782959710 0.6672050961 50.15549189254 46.12890619900 46.12890620133 53.87109380012 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
62 -0.000000 -0.000000 0.0267574490 0.1964868715 0.7262338695 1.8026711311 0.6098914689 50.50905301018 46.12890620201 46.12890620013 53.87109380018 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
63 0.000000 -0.000000 0.0228742586 0.1715583621 0.6474583437 1.6404857776 0.5567035887 50.83201347087 46.12890620656 46.12890620665 53.87109380161 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
64 -0.000000 0.00000000302449 0.0195546092 0.1497270882 0.5767327754 1.4910140248 0.5074569352 51.12660835926 46.12890620528 46.12890620489 53.87109379209 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
65 -0.000000 0.00000000646759 0.0167167334 0.1306190973 0.5133100027 1.3535227349 0.4619575098 51.39496771336 46.12890620274 46.12890620205 53.87109379148 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
66 0.00000000227214 0.00000000762094 0.0142907112 0.1139037563 0.4565003141 1.2272810203 0.4200056256 51.63911236883 46.12890619373 46.12890619601 53.87109379637 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
67 -0.000000 0.0000000102476 0.0122167576 0.0992890384 0.4056690372 1.1115681038 0.3813991390 51.86095171447 46.12890620152 46.12890619936 53.87109379040 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
68 0.000000 0.00000000446515 0.0104437949 0.0865172813 0.3602338303 1.0056796410 0.3459361410 52.06228310402 46.12890620304 46.12890620310 53.87109379244 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
69 0.000000 0.00000000486752 0.0089281326 0.0753613714 0.3196617913 0.9089327044 0.3134171726 52.24479262054 46.12890620232 46.12890620235 53.87109379278 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
70 -0.000000 0.00000000446191 0.0076324320 0.0656213000 0.2834664543 0.8206696326 0.2836470254 52.41005694866 46.12890620253 46.12890620253 53.87109379301 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
71 -0.000000 0.00000000397815 0.0065249978 0.0571221421 0.2512068339 0.7402625636 0.2564365733 52.55954068259 46.12890620270 46.12890620268 53.87109379334 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
72 0.000000 0.00000000367924 0.0055785082 0.0497090813 0.2224802341 0.6671124103 0.2316032136 52.69461034617 46.12890620276 46.12890620276 53.87109379356 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
73 -0.000000 0.00000000354314 0.0047693534 0.0432449015 0.1969189576 0.6006493909 0.2089714503 52.81653973998 46.12890620277 46.12890620277 53.87109379368 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
74 0.000000 0.00000000346742 0.0040777629 0.0376111437 0.1741941782 0.5403394874 0.1883749091 52.92649631245 46.12890620276 46.12890620276 53.87109379377 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
75 -0.000000 0.00000000340288 0.0034864704 0.0327020068 0.1540045177 0.4856764267 0.1696546086 53.02556976372 46.12890620276 46.12890620276 53.87109379384 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
76 -0.000000 0.00000000334357 0.0029807854 0.0284250588 0.1360786050 0.4361863599 0.1526604510 53.11476253380 46.12890620276 46.12890620276 53.87109379390 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
77 -0.000000 0.00000000329067 0.0025482590 0.0246998626 0.1201730899 0.3914280129 0.1372515146 53.19499305488 46.12890620276 46.12890620276 53.87109379395 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
78 0.000000 0.00000000324796 0.0021782979 0.0214562552 0.1060696687 0.3509914625 0.1232959378 53.26710217190 46.12890620277 46.12890620277 53.87109379399 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
79 0.000000 0.00000000321834 0.0018619880 0.0186335270 0.0935736050 0.3144974301 0.1106708242 53.33185641977 46.12890620277 46.12890620277 53.87109379401 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
80 -0.000000 0.00000000319675 0.0015916350 0.0161782731 0.0825097035 0.2815948381 0.0992617848 53.38995755954 46.12890620277 46.12890620277 53.87109379404 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
81 0.000000 0.00000000317924 0.0013605646 0.0140433193 0.0727199081 0.2519584946 0.0889623369 53.44204917048 46.12890620277 46.12890620277 53.87109379405 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
82 -0.000000 0.00000000316420 0.0011630576 0.0121873666 0.0640625193 0.2252884842 0.0796737654 53.48871860091 46.12890620277 46.12890620277 53.87109379407 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
83 -0.000000 0.00000000315141 0.0009942171 0.0105742952 0.0564106817 0.2013088324 0.0713047912 53.53050097647 46.12890620277 46.12890620277 53.87109379408 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
84 0.000000 0.00000000314107 0.0008498808 0.0091726934 0.0496513171 0.1797664496 0.0637712946 53.56788215870 46.12890620277 46.12890620277 53.87109379409 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
85 -0.000000 0.00000000313310 0.0007264716 0.0079550370 0.0436832191 0.1604291636 0.0569957878 53.60130411501 46.12890620277 46.12890620277 53.87109379410 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
86 -0.000000 0.00000000312680 0.0006209257 0.0068972851 0.0384160680 0.1430845632 0.0509070894 53.63116786281 46.12890620277 46.12890620277 53.87109379411 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
87 0.000000 0.00000000312182 0.0005306816 0.0059787926 0.0337701402 0.1275394918 0.0454401643 53.65783452364 46.12890620277 46.12890620277 53.87109379411 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
88 0.000000 0.00000000311776 0.0004535111 0.0051813578 0.0296740054 0.1136174190 0.0405353907 53.68163211002 46.12890620277 46.12890620277 53.87109379412 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
89 0.000000 0.00000000311446 0.0003875888 0.0044895718 0.0260652280 0.1011589130 0.0361386571 53.70285383553 46.12890620277 46.12890620277 53.87109379412 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
90 0.000000 0.00000000311194 0.0003312631 0.0038895058 0.0228871182 0.0900177642 0.0322002629 53.72176788003 46.12890620277 46.12890620277 53.87109379412 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
91 0.000000 0.00000000311015 0.0002831836 0.0033693847 0.0200902081 0.0800622839 0.0286752395 53.73861349419 46.12890620277 46.12890620277 53.87109379412 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
92 0.000000 0.00000000310885 0.0002421132 0.0029184858 0.0176294387 0.0711717514 0.0255223233 53.75360968161 46.12890620277 46.12890620277 53.87109379412 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
93 -0.000000 0.00000000310799 0.0002070329 0.0025277025 0.0154654130 0.0632375129 0.0227042257 53.76695190716 46.12890620277 46.12890620277 53.87109379413 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
94 -0.000000 0.00000000310735 0.0001770396 0.0021889163 0.0135626914 0.0561606073 0.0201869259 53.77881761372 46.12890620277 46.12890620277 53.87109379413 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
95 0.000000 0.00000000310680 0.0001513847 0.0018952094 0.0118902611 0.0498520899 0.0179397373 53.78936511179 46.12890620277 46.12890620277 53.87109379413 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
96 -0.000000 0.00000000310616 0.0001294344 0.0016405835 0.0104206580 0.0442315671 0.0159348497 53.79873670133 46.12890620277 46.12890620277 53.87109379413 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
97 -0.000000 0.00000000310551 0.0001106510 0.0014198659 0.0091297364 0.0392268177 0.0141472107 53.80705951232 46.12890620277 46.12890620277 53.87109379413 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
98 0.000000 0.00000000310503 0.0000945885 0.0012286269 0.0079962738 0.0347728670 0.0125542161 53.81444722168 46.12890620277 46.12890620277 53.87109379413 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
99 0.000000 0.00000000310463 0.0000808578 0.0010629890 0.0070014950 0.0308113238 0.0111355121 53.82100161634 46.12890620277 46.12890620277 53.87109379413 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
100 -0.000000 0.00000000310435 0.0000691239 0.0009195674 0.0061287664 0.0272896106 0.0098727349 53.82681399093 46.12890620277 46.12890620277 53.87109379413 1.0000000000 0.5900000000 0.6720000000 0.6780000000 0.0392000000 0.5540000000 2.0000000000 0.000000 
##CONCENTRATIONS
#t RCT0 alpha BN1 BN2 BN3 BN4 BTX BM RCT1 RC beta cell k0 k1 k2 k3 k4 q epsilon 


